Year,Semester,Section,A,B,C,D,F,AtoF,GPA,I,S,U,Q,X,Total,Instructor
2021,Spring,BMEN-450-901,50,1,0,2,1,54,3.796,0,0,0,0,0,54,MAITLAND D
2021,Spring,BMEN-450-902,25,4,1,0,0,30,3.8,0,0,0,2,0,32,MAITLAND D
2021,Spring,BMEN-452-500,22,9,2,0,0,33,3.606,0,0,0,0,0,33,PATRICK C
2021,Spring,BMEN-454-500,77,1,0,0,0,78,3.987,0,0,0,0,0,78,MACHEK J
2021,Spring,BMEN-454-501,73,0,0,0,0,73,4,0,0,0,0,0,73,MACHEK J
2021,Spring,BMEN-458-400,16,25,9,0,0,50,3.14,0,0,0,3,0,53,REDDY C
2021,Spring,BMEN-461-500,15,11,2,0,0,28,3.464,0,0,0,0,0,28,SCOTT M
2021,Spring,BMEN-463-500,15,2,1,0,0,18,3.777,0,0,0,1,0,19,AVAZMOHAMMADI R
2021,Spring,BMEN-469-500,17,0,0,0,0,17,4,0,0,0,0,0,17,MAITLAND D
2021,Spring,BMEN-480-500,50,11,2,0,0,63,3.761,0,0,0,0,0,63,ADJEI I
2021,Spring,BMEN-483-500,5,9,1,0,0,15,3.266,0,0,0,0,0,15,WARE T
2021,Spring,BMEN-486-500,13,24,2,0,0,39,3.282,0,0,0,1,0,40,GAHARWAR A
2021,Spring,BMEN-489-500,11,0,0,0,0,11,4,0,0,0,1,0,12,HANKS J
2021,Spring,BMEN-491-500,6,0,0,0,1,7,3.478,0,0,0,0,0,7,MABBOTT S
2021,Spring,BMEN-491-537,7,0,1,0,0,8,4,0,0,0,1,2,11,MORENO M
2021,Spring,BMEN-636-601,44,0,0,0,0,44,4,0,0,0,0,0,44,JESSEN S
2021,Spring,BMEN-663-600,9,1,0,0,0,10,3.9,0,0,0,0,0,10,AVAZMOHAMMADI R
2021,Spring,BMEN-669-600,20,0,0,0,0,20,4,0,0,0,0,0,20,MAITLAND D
2021,Spring,BMEN-674-600,18,5,0,0,0,23,3.782,0,0,0,0,0,23,KAUNAS R
2021,Spring,BMEN-680-600,12,8,0,0,0,20,3.6,0,0,0,2,0,22,ADJEI I
2021,Spring,BMEN-683-600,4,6,1,0,0,11,3.272,0,0,0,0,0,11,WARE T
2021,Spring,BMEN-685-623,17,0,0,0,0,17,4,0,0,0,0,0,17,KAUNAS R
2021,Spring,BMEN-686-600,6,5,0,0,0,11,3.545,0,0,0,0,0,11,GAHARWAR A
2021,Spring,BMEN-689-600,9,1,0,0,0,10,3.9,0,0,0,0,0,10,HARIDAS B
2021,Spring,BMEN-689-605,12,0,0,0,0,12,4,0,0,0,1,0,13,HANKS J
